hotel_id,hotel_name,hotel_URL,img_URL,street_address,city
1007348,Locanda delle Corse,http://www.tripadvisor.com/ShowUserReviews-g187791-d1007348-Reviews-Locanda_delle_Corse-Rome_Lazio.html,http://www.venere.com/img/hotel/2/8/9/8/288982/288982.jpg,Via Appia Nuova 1260,Rome
1007400,Destiny Palms Hotel Maingate West,http://www.tripadvisor.com/ShowUserReviews-g34352-d1007400-Reviews-Destiny_Palms_Hotel_Maingate_West-Kissimmee_Florida.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/f0/e1/f0e1a1ee1e3c4c4614fc4901e638a0b01large.jpg,8536 Irlo Bronson Memorial Hwy,Kissimmee
1007582,Secrets Maroma Beach Riviera Cancun,http://www.tripadvisor.com/ShowUserReviews-g150812-d1007582-Reviews-Secrets_Maroma_Beach_Riviera_Cancun-Playa_del_Carmen_Yucatan_Peninsula.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/3f/81/3f81fb4a6567c9358d188e55850977b05large.jpg,Carretera Federal Cancun - Puerto Juarez,Playa del Carmen
1007724,Hotel East Houston,http://www.tripadvisor.com/ShowUserReviews-g60763-d1007724-Reviews-Hotel_East_Houston-New_York_City_New_York.html,http://media-cdn.tripadvisor.com/media/photo-s/01/84/e7/f4/heh-curbshot.jpg,151 East Houston Street,New York City
1007816,Hilton Garden Inn Baltimore Inner Harbor,http://www.tripadvisor.com/ShowUserReviews-g60811-d1007816-Reviews-Hilton_Garden_Inn_Baltimore_Inner_Harbor-Baltimore_Maryland.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/d1/d4/d1d435ed620bd04bd17c760652e6e8513large.jpg,625 South President Street,Baltimore
1007899,Boutique Hotel Trevi,http://www.tripadvisor.com/ShowUserReviews-g187791-d1007899-Reviews-Boutique_Hotel_Trevi-Rome_Lazio.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/d2/97/d29756f43bedccac72f337dd502fec556large.jpg,Via delle Muratte 90/92,Rome
1008130,Eurostars BCN Design,http://www.tripadvisor.com/ShowUserReviews-g187497-d1008130-Reviews-Eurostars_BCN_Design-Barcelona_Catalonia.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/98/53/9853a1eb988587ec9823e13d014dc6405large.jpg,Passeig de Gracia 29,Barcelona
1008133,Barcelo Castellana Norte,http://www.tripadvisor.com/ShowUserReviews-g187514-d1008133-Reviews-Barcelo_Castellana_Norte-Madrid.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/09/04/0904143cbaa0545e0ab4e34292ef96ff6large.jpg,Avenida de Manoteras 20,Madrid
1008216,Fragrance Hotel - Sunflower,http://www.tripadvisor.com/ShowUserReviews-g294265-d1008216-Reviews-Fragrance_Hotel_Sunflower-Singapore.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/66/8c/668c8350dd8892f3c267f93eaa8223736large.jpg,10 Lorong 10 Geylang,Singapore
1008319,Hotel Eris,http://www.tripadvisor.com/ShowUserReviews-g293974-d1008319-Reviews-Hotel_Eris-Istanbul.html,http://www.venere.com/img/hotel/2/3/3/2/272332/272332.jpg,Istasyon ArkasI SokagI No 9,Istanbul
1008418,null,http://www.tripadvisor.com/ShowUserReviews-g297696-d1008418-r23431565-Gending_Kedis_Villas_Spa_Estate-Jimbaran_Nusa_Dua_Peninsula_Bali.html,null,null,null
1008610,Hotel Alux,http://www.tripadvisor.com/ShowUserReviews-g150812-d1008610-Reviews-Hotel_Alux-Playa_del_Carmen_Yucatan_Peninsula.html,http://media-cdn.tripadvisor.com/media/photo-o/01/c0/7a/e0/hotel-alux-thumbnail.jpg,Calle 14 Norte,Playa del Carmen
1008647,Comfort Suites Indianapolis,http://www.tripadvisor.com/ShowUserReviews-g37209-d1008647-Reviews-Comfort_Suites_Indianapolis-Indianapolis_Indiana.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/b1/74/b1740a258bbb5b8ae4aa8df88e3ad43f4large.jpg,4125 Kildeer Drive,Indianapolis
1008650,Comfort Suites City Centre,http://www.tripadvisor.com/ShowUserReviews-g37209-d1008650-Reviews-Comfort_Suites_City_Centre-Indianapolis_Indiana.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/7d/df/7ddf4838accbf2764f41b78de1d101995large.jpg,515 S West Street,Indianapolis
1009147,Hostal Splendid,http://www.tripadvisor.com/ShowUserReviews-g187514-d1009147-Reviews-Hostal_Splendid-Madrid.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/45/23/45231dbee899c99ee4a59435ff2bd1751large.jpg,Gran Via 15,Madrid
1010457,null,http://www.tripadvisor.com/ShowUserReviews-g294217-d1010457-r23249087-Hotel_Benito-Hong_Kong_Hong_Kong_Region.html,null,null,null
1010527,El Dorado Maroma  a Beachfront Resort  by Karisma,http://www.tripadvisor.com/ShowUserReviews-g150812-d1010527-Reviews-El_Dorado_Maroma_a_Beachfront_Resort_by_Karisma-Playa_del_Carmen_Yucatan_Peninsula.html,http://media-cdn.tripadvisor.com/media/photo-s/01/7c/24/c0/beach.jpg,Carretera Cancun-Tulum Km 55.3,Playa del Carmen
1010648,London Visitors Hotel,http://www.tripadvisor.com/ShowUserReviews-g186338-d1010648-Reviews-London_Visitors_Hotel-London_England.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/9f/4a/9f4a0b1a6531a2a4aa781a1b880c36b21large.jpg,42-44 Holland Road,London
1010781,Contemporaneo Rooms,http://www.tripadvisor.com/ShowUserReviews-g187791-d1010781-Reviews-Contemporaneo_Rooms-Rome_Lazio.html,http://media-cdn.tripadvisor.com/media/photo-s/01/cf/59/fe/double-room.jpg,Via dell'Esquilino 38,Rome
1010809,CineMusic Hotel,http://www.tripadvisor.com/ShowUserReviews-g187791-d1010809-Reviews-CineMusic_Hotel-Rome_Lazio.html,http://media-cdn.tripadvisor.com/media/photo-s/02/31/a0/eb/cinemusic-hotel.jpg,Via Tuscolana 128,Rome
1011237,Foro Romano Imperatori,http://www.tripadvisor.com/ShowUserReviews-g187791-d1011237-Reviews-Foro_Romano_Imperatori-Rome_Lazio.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/e3/62/e3627b2b3d8b44f837627524d3cdb0481large.jpg,Via Cavour 294,Rome
1011240,Hilton San Diego Bayfront,http://www.tripadvisor.com/ShowUserReviews-g60750-d1011240-Reviews-Hilton_San_Diego_Bayfront-San_Diego_California.html,http://media-cdn.tripadvisor.com/media/photo-s/01/ca/b0/a8/welcome-to-the-hilton.jpg,1 Park Boulevard,San Diego
1011429,null,http://www.tripadvisor.com/ShowUserReviews-g150800-d1011429-r23302427-Eurostars_Suites_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html,null,null,null
